DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
202835;VOLUME;636884,3522;647516,102;1194724,383;1153580,073;1388573,894;1458593,637
;QUANTITY;4229,18212;4162,552604;7886,384764;7938,960209;8612,283252;10642,62799
202872;VOLUME;101137,4052;102810,7544;129687,1245;155191,8956;125655,0352;145895,7757
;QUANTITY;697,1877139;775,9229993;953,9741457;1156,373779;930,4183697;999,7301905
202873;VOLUME;96927799,05;105326562,4;102616881,9;98470792,62;102677054,1;122786672,2
;QUANTITY;767435,5787;718206,6387;757948,1535;712188,8814;768008,2012;833173,1248
202875;VOLUME;294151,9353;345631,4309;306661,1555;287476,8635;265629,9795;323899,129
;QUANTITY;1602,543315;1815,008978;1585,738879;1542,248818;1500,636938;1773,733383
202876;VOLUME;196157,8595;187515,2642;177011,4101;201660,1865;254524,0762;246708,297
;QUANTITY;1478,966757;1351,877236;1181,406524;1322,233222;1661,87416;1713,974612
204953;VOLUME;370794,1608;198406,2449;271058,219;245119,2148;197982,9641;343362,797
;QUANTITY;1157,365127;645,7688231;848,321609;820,0393252;636,6087565;1094,208916
205275;VOLUME;182334,7414;213272,1502;237667,654;248767,7292;224276,5228;240801,6746
;QUANTITY;994,324022;1234,974075;1483,509161;1433,02385;1273,61778;1569,533829
205276;VOLUME;15481167,46;19176381,42;20685570,53;18475130,42;19026272,65;23312904,63
;QUANTITY;131968,7257;156694,4109;172407,7124;168789,4903;173566,0333;209422,9515
205810;VOLUME;72925844,83;70769562,34;74995670,16;72389849,62;67834560,99;68666499,57
;QUANTITY;251187,8418;247371,2083;280314,9679;259422,8929;248185,1225;263354,8729
205811;VOLUME;196784900,4;194011336;212150641,7;202708611,7;193472029,6;202603076,4
;QUANTITY;411191,8523;427791,213;466300,6046;407880,1976;400647,0546;400147,7602
206785;VOLUME;;;1180,702728;;;
;QUANTITY;;;1,893095421;;;
206968;VOLUME;;1037,636083;;5237,26031;6415,981684;6875,298738
;QUANTITY;;4,514430233;;19,66094419;23,24421438;30,12397344
206970;VOLUME;199270,7476;174253,0068;228111,2588;311206,27;278288,2862;316430,8611
;QUANTITY;503,5499144;411,478996;524,2982755;737,9391497;692,8673005;768,2609839
206971;VOLUME;57546,70782;42537,14699;53295,97936;34998,33442;51076,8942;41910,0912
